m2,nb_rooms,nb_bedrooms,building_floor,apartment_floor,nb_bath,Cellar,balc_patio,Heating,Renovated,Parking,building_height,Ground_floor,Heating_Central,Heating_Individual,Last_floor,district,SalePrice_K
5.017279836814924,5,3,6,2,1,1,Balcon,"Individuel, au gaz",0,0,Average,0,0,1,0,8e,7.6255950721324535
5.337538079701318,7,5,6,1,1,1,0,Unknown,0,0,Average,0,0,0,0,17e,7.598399329323964
4.7535901911063645,5,3,6,6,1,1,0,Unknown,0,0,Average,0,0,0,1,8e,7.417580402414544
3.332204510175204,2,1,5,0,1,0,0,"Individuel, électrique",0,0,Average,1,0,1,0,18e,5.598421958998375
4.394449154672439,4,2,7,0,1,1,0,Individuel,0,0,Average,1,0,1,0,15e,6.763884908562435
4.465908118654584,3,2,5,3,1,1,0,"Individuel, au gaz",0,0,Average,0,0,1,0,6e,7.22983877815125
4.418840607796598,4,3,17,1,1,1,0,Central,1,0,Tower,0,1,0,0,14e,6.785587645007929
2.1972245773362196,1,0,6,6,1,0,0,Unknown,0,0,Average,0,0,0,1,17e,4.7664383335842135
4.23410650459726,3,1,5,5,1,0,0,Unknown,0,0,Average,0,0,0,1,2e,6.942156705699469
4.564348191467836,4,2,7,2,1,1,Balcon,Central,0,0,Average,0,1,0,0,16e,7.222566018822171
3.2188758248682006,2,1,6,6,1,0,Balcon,Unknown,0,0,Average,0,0,0,1,17e,5.886104031450156
4.7535901911063645,6,4,9,3,1,1,Balcon,Unknown,0,1,Average,0,0,0,0,12e,6.975413927455952
3.828641396489095,2,1,3,3,1,0,0,Individuel,0,0,Small,0,0,1,1,5e,6.453624998892692
3.8066624897703196,3,2,6,2,1,1,0,Unknown,0,0,Average,0,0,0,0,11e,6.269096283706261
5.351858133476067,6,5,0,1,1,1,Terrasse,Unknown,0,0,Average,0,0,0,0,20e,7.5443321080536885
5.241747015059643,6,4,6,3,1,1,0,Unknown,0,0,Average,0,0,0,0,17e,7.787382026484701
2.5649493574615367,1,0,6,6,1,0,0,Unknown,0,0,Average,0,0,0,1,17e,5.293304824724492
5.003946305945459,5,3,9,6,1,1,Balcon,Central,0,0,Average,0,1,0,0,16e,7.590852123688581
5.176149732573829,5,3,6,0,1,0,0,Unknown,0,0,Average,1,0,0,0,17e,7.595889917718538
5.017279836814924,5,3,6,2,1,1,Balcon,"Individuel, au gaz",0,0,Average,0,0,1,0,8e,7.6255950721324535
3.2188758248682006,2,1,2,2,1,1,0,Unknown,0,0,Small,0,0,0,1,7e,5.963579343618446
4.51085950651685,4,2,0,4,2,1,Balcon,Unknown,0,0,Average,0,0,0,0,17e,7.166265974133638
4.442651256490317,3,2,6,3,1,1,0,Unknown,0,0,Average,0,0,0,0,6e,7.154615356913663
4.356708826689592,3,2,4,1,1,1,0,Central,0,0,Average,0,1,0,0,17e,6.813444599510896
4.90527477843843,5,3,6,4,2,1,Balcon,Unknown,0,0,Average,0,0,0,0,17e,7.578145472419466
4.499809670330265,4,2,6,1,1,0,0,Central,0,0,Average,0,1,0,0,4e,7.090076835776092
4.553876891600541,5,3,11,1,1,0,0,Central,0,0,High,0,1,0,0,16e,6.951532901328025
4.2626798770413155,3,2,12,2,1,1,Balcon,Central,0,1,High,0,1,0,0,15e,6.870053411798126
4.204692619390966,3,2,7,2,1,1,0,Au gaz,0,0,Average,0,0,0,0,7e,6.807934943699926
